Number,Tweets,Class
39,"GAZİANTEP   Yunus Emre mahallesi egemen sk no:8 Nizip/Gaziantep  05366638187 Ali Gürçaylı  Yaklaşık 30 kişilermiş. İçlerinde bebek ve çocuklar da var. Acil soba, battaniye, kuru gıdaya ihtiyaçları var.",1.0
40,Ailem Malatya’nın Akçadağ köyündeler. 100 kişilik bir köyde sadece 2 tane çadır var. Acil olarak çadıra ve gıda ihtiyacımız var. Lütfen yardım edin!!!!! İletişim:  Şabettin Cengiz 05379868467,1.0
41,ACİL VİNÇ VE KEPÇE LAZIM SES VAR ‼️  SÜMERLER MAH ASEL APT ŞÜKRÜ GÜÇLÜ BULVARI YEŞİL BEYAZ APT ANTAKYA   enkazda kalan: enes çulhacıoğlu   enkazın başında bekleyenler: ahmet Çulhacıoğlu 05379290473 hazar çulhacıoğlu 0 538 584 81 44,1.0
42,ACİL! kahramanmaraş göksun tombak mahallesi çadır ve kuru gıda yardımına ihtiyaçları var. yardım geliyor fakat tam olarak ihtiyaca yönelik değil Göksün üzerinden yol yıkılan köprülerden ve kardan dolayi kapali ulasım elbistan üzerinden oluyor. çağrı koca 05307021040,1.0
43,"Hatay Kadın Voleybol Takımı'nın bulunduğu bina için çok acil termal ısı kamerası gerekmekte.  Lütfen hala vakit varken kızlarımızı kurtaralım   Adres: Cumhuriyet mahallesi, Bostan sokak, Yeşilyurt apartmanı, No:1 Antakya Spor Salonu karşısı.",1.0
44,Kahramanmaraş Göksun Taşoluk köyü barınma ve erzak ihtiyaçları var lütfen paylasırmısınız teyitli numarasını atabilirim,1.0
45,Yemek barınma ihtiyacı vardır lütfen RT yapalım  Orduzu leylekpinari mahallesi çıkmaz sokak veysel Karani camisi yanı / Malatya,1.0
46,"1. AĞIZDAN TEYİT ETTİRDİM ACİL GIDA YARDIMI Fatma Çamkerten  Mimar Sinan mh. Kızılay cd. Kumeevler no11 Üç gündür gıda ulaşmıyor. Kanser son evrede, yatalak dede Kadın çok zor durumda. Kırıkhan/ Hatay 4 kişilik aile 05541274913 Fatma Hnm.",1.0
47,"YETERSİZMİŞ ACİL YARDIM GİTMESİ LAZIM ( TEYİTLİ )  HATAY / Samandağ yolu üzeri Koyunoğlu mahallesi Çamlık sokak No 19  Arkadaşımın ailesine ve bir çok insana yardım gerekiyor  battaniye, çadır, erzak, bebek bezi, hijyenik ped lazım  NAZLICAN AKSOY / 0539 478 54 45 @AFADBaskanlik",1.0
48,*ACİL YARDIM..!!!*  Arkadaşlar hataydan arkadaşımla konuştum depremden dolayi köylerdeler ve yardim gitmemis suya kiyafete ve yiyeceklere ihtiyaclari var Hatay Altınözü karbeyaz köyü iletişim: 5054172392 merve bayraktar  *TEYİTLİDİR..!!!!*  #deprem #hatay,1.0
49,TEYİTLİ!! ACİL YARDIM Altınözü Tepehan Köyü kendi imkanlarıyla hayatta kalmaya çalışıyor. Hiçbir yardım ulaşmamış.  Lütfen destek olalım,1.0
50,Acill retweet!!!  Adıyaman donuyor Çadır ihtiyaçları varmış .        Çukurtaş köyü Derebaşı mezrası Kahta/Adıyaman Teyitli bilgi 20.25,1.0
51,Narlıca mahallesi cumhuriyet caddesi 227.sokak no 12 aksan düğün salonu arkasındaki apartman tır garajı yanı bina no 12 Antakya  +90 (552) 404 66 88 türkan  Acil gıda ihtiyacı va,1.0
52,"Ahmet Taner Kışlalı Spor salonuna gıda, battaniye,kefen, ısıtıcı,mont yardımı lazım",1.0
53,ADIYAMAN   Adıyaman Çelikhan mestan köyünde gıda ve çadır ihtiyaçlari var hala erzak ulaşamamış kendilerine  +90 545 422 26 44 kemal abi,1.0
54,Hatay Antakya Tanışma köyü acil çadır ve erzak yardımı lazım çocuklar bebekler var iletişim numaraları 05326906575 05379976011,1.0
55,"Teyitli Bilgidir ❗  Adıyaman / Çelikhan ilçesi Kurudere mahallesi. Kıyafet,ayakkabı,mont öncelikli ihtiyaç günlerdir yardım ulaşmamış. Köydeki çocuklar 7-15 yaş arası çocuklar yetişkin Lütfen paylaşalım.",1.0
56,TEYİTLİ-MEHMET BALBABA-TELEFON SİNYALİ VAR OTOPARK BOŞLUĞUNDA OLDUĞU DÜŞÜNÜLÜYOR-ŞEKERDERE CADDESİ GO PETROL KARŞISI SEDA APARTMANI KMARAŞ ONİKİŞUBAT  ACİL TERMAL KAMERA,1.0
57,KAHRAMANMARAŞ/Kanlıkavak mahallesi bahçepınar caddesi no:20 kanlıkavak yolçatından sol yukarı çıksınlar babam yolda bekliycek ararlarsa bulurum onları dedi. ACİLEN ÇADIR İHTİYACI VARDIR!! FAKAT İSİM YAZDIRILMASI GEREK!!! İletişim No:0507 469 1946 TEYİTLİ BİLGİDİR!!  YAYALIMMM!!,1.0
58,Ekipmanları arttırın lütfen‼️ Jeneratör Vinç Hilti ihtiyacı var nolur yardım edin. Altınşehir mah. Bahçeşehir sitesi1 B blok Kat:1 Adıyaman/Merkez Serkan İnal ve ailesi enkaz altında 4 gün oldu,1.0
59,Hatay/iskenderun Gürsel mahallesi Teknik üniversitesi arka giriş kapısı karşısında Alina cafe var önlerinde afad çaldırı var Battaniye ve ısıtıcı lazım elektrikli soba kuru gıda ihtiyacı İletişim: 0 (507) 792 78 09,1.0
60,"MALATYA  Battalgazi mahallesi düzen sok no 33  Ali Süngü Telefon 0538 834 95 78  *Kalabalık bir aile, çadır haricinde gıda ve yakacak eksikleri var*",1.0
61,Merkez / Derekoyu Kahramanmaraş  Adı: Ali İletişim no: 0536 715 29 24                                         Köydeler yardım ulaşmamış soğuktan donmak üzereler. Kıyafet gıda odun kömür ihtiyaçları var lütfen yardım ulaştıralım. Teyitli bilgidir yayalım.,1.0
62,Maraş Elbistan bölgesinde gıda yiyecek içecek vs vardır. Acil en temel ihtiyaçlar soba kömür piknik tüpü iç çamaşırı çadır tencere katalik benzin ve mazot ulaşmamıştır. Bunlara şu an çok ihtiyaç vardır. Teyitlidir avukat Tarık Şahin  İletişim: 0 505 070 16 46,1.0
63,"TEYİTLİ arkadaşlar annemin akrabası lütfen yardımcı olun  8 aylık bebek için bez,mama ve kıyafet ihtiyacı var.   Malatya Kuluncuk Kızılhisar Fatoş Boyraz 05397987977",1.0
64,Hızlıca yayar mısınız?  Kahramanmaraş acil çadır ısıtıcı gıda yardımı lazım🙏🏻🙏🏻🙏🏻🙏🏻 İstiklal mah. Cumhuriyet CAD. Kahramanmaraş Çağlayancerit +90 541 728 08 27  Sevim Yiğit Dışarıda bekliyolar acil yardım gerekiyor,1.0
65,"ÇOK ACİL 🚨 EKSKAVATÖR- BÜYÜK BOMLU KEPÇE KISKACI LAZIM  Lütfen yayalim cok acil lütfen  HATAY-ANTAKYA, Odabaşı, Kanguru sokak, Özgür apartmanı 5 kişilik KARACA ailesi hala enkaz altında çok acil destek lütfen ",1.0
66,"KAHRAMANMARAŞ, TÜRKOĞLU İLÇESİ BEYOĞLU MAHALLESİNDE ARKADAŞLARIMIZIN ÇADIRA İHTİYACI VAR. ÇOCUKLAR SOĞUKTA BEKLİYOR😞 BU CİVARDA BİR YARDIM HABERİ GÖRÜRSENİZ İLETİN LÜTFEN.   CEP TELEFONU 0537 209 3590",1.0
67,Hatay yayladağı leylekli köyü  kuru gıda bebek malzemeleri bez vs battaniye ihtiyaçları var Antakya da evleri yıkılanlar da köye gelmişler yardım tırı ulaşmamış (enkazlar ulaşımı zorlaştırdığı için) zor durumdala,1.0
68,Malatya Battalgazi hidayet mah. Çalıkuşu sokak no 4 neşe Sarıkaya  0538 342 13 31  Gıda su battaniye ev hasarlı lütfen elden ele yayalim belki bir yardım getiren olur lütfen yayalım,1.0
69,KAHRAMANMARAŞ  ACİL VİNÇ LAZIM  Yenişehir mah/cumhuriyet bulvarı/köker sitesi No:4 B blok dulkadiroğlu/ iş bankasının olduğu site/   Gizem toprak 05545530467   vinç lazım,1.0
70,Nurdağı sakçagözü köyü bisküvi yemekten halsiz olmuş insanlar çadırlar kurulmuş Kuru gıda gelirse kendi yemeklerini yapabilme imkanları var  0536 739 7027,1.0
71,KAHRAMANMARAŞ‼️ Molla gürani mah. 61001/ 1.sok no: 20 Sümbüllü Karacaoğlan Parkı üstü ONİKİŞUBAT/KAHRAMANMARAŞ İsim soyisim: volkan musa aksakal  No: 538 878 9180 İhtiyaçlar:  Gıda  Su,1.0
72,"Antakya DEFNE ""Harbiye BP"" (benzin istasyonu) ye çadır lazım"" 15 20 kişi açıkta. Çadır lazım olan kişilerin telefonu: Semir MANSUR +90 535 584 16 00 Edip Mansur +90 532 365 18 96 9.02.2023 saat 20,30 da  tel.ile konustum dışarıdalar ateş yakarak korunuyorlar ACİL ÇADIR duyuralım",1.0
73,Karaali mahallesi Antakya/Hatay ihtiyaçları gıda su ve çadır. Hiçbir yardım ulaşmamış . Gelen yardımlar yolda yağmalanmış.,1.0
74,Allah rızası için şunu da yayın ne olur ya   KAHRAMANMARAŞ ACİL ÇADIR İHTİYACI ‼️  Dulkadiroğlu/ Kahramanmaraş  Ballıca Mahallesi Şeref Eroğlu Caddesi   0530 083 21 68,1.0
75,ALİTAŞI MAHALLESİ 1248 SOKAK UMUT APARTMANI B BLOK NO 1 KAT 3 NO 15 ADIYAMAN/MERKEZ  TERMAL KAMERA LAZIM LÜTFEN ACİLLL!!!!!,1.0
76,TEYİTLİDİR SES VAR VİNC LAZIM    HÜRRİYET 17. SK NO:14 46050 KAHRAMANMARAŞ MERKEZ EBRAR SİTESİ   POYRAZ AVCI (12 YAŞ) AKIN AVCI  DİLEK AVCI  İrtibat No:0552 547 3864,1.0
77,HATAY SAMANDAĞ İLK GÜNDEN BERİ YARDIM GİTMEMİŞ lütfen  Tekebaşı mahallesi Sutaşı Mahallesi Kuşalanı mahallesi Yeşilada mahallesi Favvar Mevki ve caddesi  ÇOK ACİL SU ERZAK BATTANİYE VE ÇADIR LAZIM LÜTFEN YAYIN ÇOK ACİL!!!!! 05358572832 0533 039 39 31 0530 065 03 44 0532 401 55 74,1.0
78,"‼️TEYİTLİDİR‼️ VİNÇ VAR IŞIK VAR  ACİL EKİP VE TERMAL KAMERA GEREK  Begüm Ciritci 88 saattir enkaz altında.  Hava boşluğu var ⚠SESLERİ GELİYOR EKİP LAZIM⚠  Antakya/HATAY Cebrail Mahallesi, Fatih Caddesi, No:13, Katipoğlu Apartmanı  Özkan Uçar: 5323638123 Ümit Ciritçi:5346577770",1.0
79,ihtiyaçlar aynı çadır su gıda Altın ova mahlesi altın ova sokak no 265 ONİKİŞUBAT ilcesi kahramanmaraş ferhat çalışkan 05459418220,1.0
80,Abdülkerimyorgun caddesi yenimahalle şok ev no 76 hatay samandağ  0537 783 5198 bu adreste ciddi sayıda evsizler var ve hala vinç yardımı enkaz yardımı gelmemiş gıda yardımı var fakat çadır yok ısınamıyorlar bu numarada şebeke sorunu var arada bir tekrar deneyin,1.0
81,"TEYİTLİ ÖLÜM TEH. ACİLİYETLİ  Malatya Doğanşehir Karaterzi köyü ve çevre köylerinde evler yıkılmış insanlar kar altında dışarda derme çatma yaşamaya çalışıyor. Öncelikli ihtiyaç jeneratör , temel gıda ve barınma ekipmanları  05373889473 Mahmut Çakır  0 (537) 890 39 38 Hasan Basri",1.0
82,"Erkan kocaoğlu 05334776882 Karataş, 103410. Cd. 1-3, 27470 Şahinbey/Gaziantep Battaniye, Gıda, Su",1.0
83,"“Acil yardım!!!!! yemek, bez, çocuk kıyafeti lazım!!!!!   Türkoğlu kaymakamlığına yakın, Gaziler 3013 sokak no 31 TÜRKOĞLU/MARAŞ”  Ümmühan sarı 0553 387 9773 @AFADBaskanlik @DepremDairesi @BabalaTv #depremsondakika #Kahramanmaras",1.0
84,‼️ACİLL TEYİTLİ‼️ ‼️KAHRAMANMARAŞ EKİNÖZÜ  ‼️+90 544 572 66 90 said  ⚠️yüyeceği içeceği geçtim millet soğuktan ölücek nerde bu millet  Nolur yardımedin çadırlarda millet dondu acilen battaniye ısıtıcı gitmeli,1.0
85,"İletişime geçildi.  6 aile var toplam 20 kişi var. Gıda ihtiyacı varmış. Köy merkezine gıda desteği gelmiş ama yetişememişler.  Battaniye ve ısıtıcı ihtiyacı  Kıyafet ulaşmış, ama çadır yok çatı alında kalıyoruz dendi.  Maraş Afşin Altaş mahallesi",1.0
86,"MALATYA- ARKADAŞLAR ÇOK ACİL. 2 gündür  YEMEK YEMEMİŞLER ÇOK KOTÜ durumdalar.  Köye ulaşılması gerek Bebek mama, kuru gıda vs iletilmesi gerek. MALATYA AKÇADAĞU GÜZYURDU KOYÜ İBRAHİM DİLGİN 05378274986",1.0
87,YARDIM : Malatya Akçadağ İkinciler Köyü  yardım yetersiz koca köye 2 koli gitmiş gıda bot mont kıyafet atkı bere çorap battaniye yorgan ÖZELLİKLE ÇADIR lazım bir an önce yardımın ulaşması gerekiyor İKİNCİLER KÖYÜ DAĞINIK VE ÇOK BÜYÜK   Malatya Akçadağ İkinciler Köyü  05539064244,1.0
88,"Hatay Hassa ardıçlı Bu adrese lütfen gıda , elbise , temek ihtiyaç ne varsa yardım gönderebilirmisiniz ?????? Lütfen yardım ulaşmıyormuş.",1.0
89,"Adıyaman merkezde evleri enkaz olan aile gidecek yer bulamıyor. Barınma, gıda desteği çok acil lazım  İletişim Numarası: 0(543) 619 40 53",1.0
90,"ADIYAMAN ‼️  gölbaşı civkur tavuk çiftliği lojman evleri  Cumali Tokgöz 0 (539) 322 54 30  Acil olarak elektrikli ısıtıcı, ufo, gıda  Ve büyük beden kıyafet yetiskin için mont vs. Isıtıcı ufo en acil olanıymış",1.0
91,O RH (+) Kana acil ihtiyaç var trombosit  500 yataklı devlet hastanesi ŞANLIURFA  İrtibat numarası 0552 074 69 11‼‼‼ Acil kan ihtiyacı var!!!,1.0
92,ANTAKYA TEYİTLİ  2 yetişkin 1 BEBEK SESLERİ GELİYOR KEPÇE lazım Lütfen sesimizi DUYUN! Ekinci Mahallesi İnönü Bulvarı Alya Uçar Apt. No:128 TUTKU PASTANESİ İrtibat;Yusuf Yonca: 0532 744 96 46 Zafer Demirdöven: 0536 244 73 09,1.0
93,"Teyitli:  Kahramanmaraş, Köseli Mah. Müdürler Sok. Küme Evleri No: 60/1  Acil çadır ihtiyacı var. Aynı zamanda battaniye, gıda ihtiyacı var, elektrik olmadığı için de powerbank ihtiyaçları olduğunu belirtiyorlar.  İletişim bilgisi: 0546 578 39 44",1.0
94,‼️bu adreste 3 4 tane bebek varmıs ‼️ bebeklere gıda yardımı gelmiş köy halkına gıda ve çocuklar için giysi gerekiyormuş yardım edelim Büyük Hasancık köyü ilkokulu merkez Adıyaman iletisim: +90552 814 5232,1.0
95,"Arkadaşlar Hatay hassa mevkinde bebek maması,bebek bezi, bebek maması,su,gıda,biberon,battaniye gibi ihtiyaçları olan tanıdığınız varsa 05073499301 telefon numarası üzerinden iletişime geçebilirsiniz. İletip yayalım lütfen.",1.0
96,Hatay/İskenderun Numune mah. 186 sokak No: 14  05349164014 = Görkem Duman Erzak özellikle kuru gıda su giysi bebek bezi 5 numara bebek maması 3 numara fener,1.0
97,"Yeşilyurt mah. Fatihsultan mehmet cad. No=35 a onikisubat k.maraş  Gıda, kıyafet ve ısınmak için odun kömür sıkıntısı yaşanıyor. Acil destek bekliyorlar. Köye çadır bile ulaşamamış arabada yaşamaya çalışıyorlar. Bebekler var. İletişim: +90 (538) 337 36 56 / Sultan Parlak  acil!",1.0
98,"RT❗ TEYITLI, güncel 9 şub 21:50  ‼️Kahramanmaraş'ın Nurhak ilçesi ve köyleri  Yakacak, Gıda, Yakıt, Mazot, Isınma, Barınma ihtiyaçları var. YOLLAR YIKILMIŞ, ulaşım zormuş ama oraya ACİL YARDIM istiyorlar  terk etmek isteyenler var ama benzin bulamıyorlar",1.0
99,Göksun yağmurlu köyü Abdurrahman Kolukısa 05427173346 gıda ve  çadır ihtiyaçi vardır şimdiden teşekkürler,1.0
100,"Kahramanmaraş, Köseli Mah. Müdürler Sok. Küme Evleri No: 60/1  Acil çadır ihtiyacı var. Aynı zamanda battaniye, gıda ihtiyacı var, elektrik olmadığı için de powerbank ihtiyaçları olduğunu belirtiyorlar.  İletişim bilgisi: 0546 578 39 44 ACİL",1.0
101,"Kuzenim Aliye Ayfer Geçmen -Öfkeli, kizi :Rabia Öfkeli ve esi Metin Öfkeli göcük altinda! Bölgeye vinç gerekli Armutlu mahallesi Haci durmus sokak Öfkeli apartmani Taksi duraginin, pazartesi pazarin karsisi. AFAD: 03261120000 Iletisim/duyan/gören: +90 537 780 54 17",1.0
102,Gazidemircioğlu caddesi kayabaşı mahallesi atabey apartmanı kat:4 no:10 dulkadiroğlukahramanmaraşta enkaz altında. Bulunduğu konuma acil termal kamera gerekiyor.#depremsondakika #Turkey #earthquakeinturkey,1.0
103,"-KAHRAMANMARAS  !!!! ÇOK ÖNEMLİ !!!! Kahramanmaraş Döngel köyü (döngel mağaraları) kümeevler kayseri ana yolunun kenarı 100 kişilik çadır lazımTemel gıda en çok çadir çocuk bezi mamalar yok,o civardaki köylerde çok mağdur",1.0
104,"ACİL YARDIM (TEYİTLİ‼️‼️)  Taşoluk köyü Göksun/Kahramanmaraş acil yardım gerekiyor. Kendi imkanlarıyla çadır kurmuşlar ama hava çok soğuk çadırlar yeterli değil. Gıda ve su ihtiyaçları var. Çok kötü durumdalar lütfen. Bebekler, küçük çocuklar varmış. Lütfen acil yardım!!!!",1.0
105,Hatay kırıkhan kamberli köyü oda arkadaşım +90 533 091 12 94 ismail lütfen o tarafta olan ulaşsın kendi aracı var kırıkhana gelip alabilirim diyor  11 aile var  kuru gıda elibse ihtiyaçları var yardımcı olur musunuz ,1.0
